"##characteristics#compile#obj_size#min";"##characteristics#run#execution_time_kernel_0#center";"##characteristics#run#execution_time_kernel_0#halfrange"
32550;3.6345;0.0315
45086;10.4205;0.0465
32366;3.502;0.039
45774;10.6785;0.0695
27245;3.759;0.0
34032;3.7905;0.0155
31750;3.658;0.07
27485;3.712;0.0
33392;3.533;0.008
34279;3.447;0.0
45774;10.592;0.0
33779;3.463;0.0
31664;3.541;0.0
33016;3.845;0.289
29770;3.229;0.0
33503;3.7525;0.3675
34007;3.541;0.047
33287;3.5875;0.0935
33807;3.088;0.0
31047;3.307;0.0
33699;3.5485;0.0075
45774;10.561;0.0
33705;3.494;0.0
31289;3.4475;0.0155
45774;10.561;0.047
28685;3.8605;0.0075
45774;10.53;0.0
27303;3.697;0.0
31141;3.26;0.016
28129;3.9;0.0
32270;3.525;0.0
27621;3.829;0.039
27411;3.744;0.0
32258;3.658;0.008
45774;10.5375;0.0075
33863;3.478;0.0
35821;3.385;0.0
45902;10.5765;0.0465
33779;3.494;0.0
27245;3.759;0.0
29770;3.229;0.0
33807;3.088;0.0
27303;3.697;0.0

